,Unnamed: 0,photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation,iso_noise_bin_label,iso_noise_label,DoF_bin,DoF,exposure_label,focal_label_bin,focal_label
6,6,p-vdIYB4mFY,NORITSU KOKI,EZ Controller,,,,,1,,,,,,,
8,8,txuZ6ATkPMk,,,,,,,1,,,,,,,
10,10,12dXKDujs40,,,,,,,1,,,,,,,
11,11,H28ODcp4EUk,Canon,Canon EOS 60D,,28.0,2.0,1/3200,1,,,0.0,0.0,2.0,0.0,0.0
22,22,ti4uz330CwU,,,,,,,1,,,,,,,
24,24,HYA9Ak06qR8,SONY,ILCE-7,100.0,,,10,1,0.0,0.0,,,0.0,,
29,29,wkZjjrcl9oo,,,,,,,1,,,,,,,
33,33,2wugfiddtXw,,,,,,,1,,,,,,,
34,34,dO0KS_QGnzY,,,,,,,1,,,,,,,
37,37,ocwmWiNAWGs,SONY,SLT-A57,,35.0,3.5,1/4000,1,,,0.0,1.0,2.0,0.0,0.0
40,40,HZg0vJHFyg0,,,,,,,1,,,,,,,
41,41,gq4kE8KRP8c,,,,,,,1,,,,,,,
43,43,dSM6qcdS7Hk,Canon,Canon EOS 5D Mark II,200.0,50.0,,1/125,1,0.0,0.0,,,1.0,0.0,1.0
46,46,jeZXVb3JHgc,,,,,,,1,,,,,,,
47,47,d8IPvipdj1Y,,,,,,,1,,,,,,,
50,50,gxuJV1SMk_s,,,,,,,1,,,,,,,
53,53,o94ZSuWMeis,,,,,,,1,,,,,,,
77,77,QTVi7cvYm0k,,,,,,,1,,,,,,,
82,82,PQYovEfGC_I,SONY,NEX-5N,100.0,,,,1,0.0,0.0,,,,,
93,93,0mtnfThbrMA,,,,,,,1,,,,,,,
110,110,q75_AMCgsZU,,,,,,,1,,,,,,,
121,121,1NKYcxSIw8g,,,,,,,1,,,,,,,
131,131,QdSYuTtcGZE,SONY,ILCE-7,50.0,,,20,1,0.0,0.0,,,0.0,,
141,141,Gxa1GeJ2TlY,,,,,,,1,,,,,,,
143,143,rYWz3Q88P8g,SONY,ILCE-6000,100.0,,,1/640,1,0.0,0.0,,,2.0,,
154,154,qWqj7_h0mxU,NIKON CORPORATION,NIKON D90,200.0,,,1/500,1,0.0,0.0,,,2.0,,
159,159,iBh14jRMBI4,Canon,Canon EOS 5D,200.0,0.0,,1/400,1,0.0,0.0,,,2.0,,
162,162,HfGRKdRsolA,,,,,,,1,,,,,,,
165,165,K0NZmsoaRt0,,,,,,,1,,,,,,,
180,180,1c0l8A8VDzk,,,,,,,1,,,,,,,
184,184,bcyC0eCFH8U,,,,,,,1,,,,,,,
200,200,-grKZ-GzWyU,,,,,,,1,,,,,,,
205,205,bQUKDF5H7fo,,,,,,,1,,,,,,,
210,210,s48nn4NtlZ4,SONY,ILCE-7,1600.0,,,2.5,1,1.0,1.0,,,0.0,,
213,213,uXMU_dC_tFM,,,,,,,1,,,,,,,
221,221,aMgRySE38Yw,,,,,,,1,,,,,,,
226,226,IraMdOH78NE,,,,,,,1,,,,,,,
229,229,Ob-5QPT6yv4,,,,,,,1,,,,,,,
231,231,bOv4fYURclY,,,,,,,1,,,,,,,
232,232,e0Q4qqvvrXI,,,,,,,1,,,,,,,
236,236,HS4D5MvY5F4,,,,,,,1,,,,,,,
246,246,njQ-fbNxpTk,OLYMPUS IMAGING CORP.,E-PL2,200.0,,,1/640,1,0.0,0.0,,,2.0,,
247,247,Y5pSLoYarnE,,,,,,,1,,,,,,,
252,252,Sq44zuvuYuQ,,,,,,,1,,,,,,,
254,254,HAGq70L1MXc,,,,,,,1,,,,,,,
265,265,83zRhEhFMfo,,,,,,,1,,,,,,,
271,271,kqBzDbiVV40,,,,,,,1,,,,,,,
277,277,KFnu4Y0uNJA,,,,,,,1,,,,,,,
289,289,5RXGJ9DUI88,,,,,,,1,,,,,,,
292,292,xO5EYYkBUHE,,,,,,,1,,,,,,,
298,298,H2iEmRRERjU,,,,,,,1,,,,,,,
303,303,bx6FW6H4PGU,"FUJI PHOTO FILM CO., LTD.",SP-3000,,,,,1,,,,,,,
309,309,W03UoQoFsoM,,,,,,,1,,,,,,,
310,310,yDxzI-3IEMc,,,,,,,1,,,,,,,
316,316,2FqpN2CWCLo,NIKON CORPORATION,NIKON D5300,400.0,,,1/60,1,0.0,0.0,,,1.0,,
322,322,HE5PT9HElGE,SONY,ILCE-7M2,200.0,,,1/60,1,0.0,0.0,,,1.0,,
330,330,V2wJBB2p7eU,,,,,,,1,,,,,,,
336,336,LKOAOAJZEbc,,,,,,,1,,,,,,,
343,343,fBkkiSWvnmM,Canon,Canon EOS 80D,3200.0,,,25,1,1.0,2.0,,,0.0,,
344,344,eKCeVOfw4J8,,,,,,,1,,,,,,,
348,348,F8NIC0FAEgc,,,,,,,1,,,,,,,
350,350,KRVmB7wraZ4,Canon,Canon EOS 6D,3200.0,,,30,1,1.0,2.0,,,0.0,,
351,351,Fztf-d-JoaI,SONY,ILCE-7RM2,1000.0,,,30,1,1.0,1.0,,,0.0,,
353,353,QyfSWUp7ReM,,,,,,,1,,,,,,,
356,356,UF0WlFvPvrk,,,,,,,1,,,,,,,
363,363,tYQoo65Rw2o,SONY,ILCE-6300,1600.0,,,15,1,1.0,1.0,,,0.0,,
364,364,nuMmwfyPOUw,NIKON CORPORATION,NIKON D750,1000.0,0.0,,1/100,1,1.0,1.0,,,1.0,,
369,369,rC2UStRbYCg,,,,,,,1,,,,,,,
385,385,ygCOdo61k3E,,,,,,,1,,,,,,,
388,388,4_Bc9CSm70A,,,,,,,1,,,,,,,
396,396,wWtOyQJYtG4,Apple,iPhone,,,,,1,,,,,,,
407,407,npwjNTG_SQA,,,,,,,1,,,,,,,
410,410,ewgeSo_WYYE,SONY,ILCE-6000,100.0,,,1/640,1,0.0,0.0,,,2.0,,
411,411,cokIcMulPJA,,,,,,,1,,,,,,,
417,417,hcfyt4OHHgY,,,,,,,1,,,,,,,
439,439,eQ_icBB_jFk,Canon,Canon EOS 70D,,135.0,5.6,,1,,,1.0,1.0,,1.0,2.0
440,440,ZUMtJb6XbhE,,,,,,,1,,,,,,,
475,475,WKKG5oYx3qA,Canon,EOS 6D,,,,,1,,,,,,,
476,476,hAw0XnvMgns,Sony,,,,,,1,,,,,,,
484,484,YK8Mvocj6yE,,,,,,,1,,,,,,,
490,490,-tXcEuihgzE,,,,,,,1,,,,,,,
